eq,cry,deff,wd,ann,pos,ann_is,pos_is,ann_oos,pos_oos
0.57,0.26,0.08,0.08,0.12130364153162801,0.7094017094017094,0.16166251608761037,0.7361111111111112,0.19209198922911325,0.6666666666666666
0.6,0.27,0.13,0.0,0.11148127967059294,0.7435897435897436,0.14281436229867686,0.7361111111111112,0.18385226844749486,0.7555555555555555
0.57,0.26,0.12,0.04,0.11599257095320273,0.7435897435897436,0.15189230215125377,0.7361111111111112,0.18684065908471678,0.7555555555555555
0.55,0.25,0.12,0.08,0.11928543752562831,0.7435897435897436,0.15836119458930756,0.7361111111111112,0.1896187497186651,0.7555555555555555
0.57,0.26,0.17,0.0,0.10818192663525894,0.7350427350427351,0.1363165349546563,0.7222222222222222,0.1821993935214113,0.7555555555555555
0.55,0.25,0.16,0.04,0.11278370338289027,0.7435897435897436,0.14551208052779133,0.7361111111111112,0.18522365941410673,0.7555555555555555
0.53,0.24,0.15,0.08,0.1159192911027783,0.7521367521367521,0.151703867688897,0.75,0.18781057526166234,0.7555555555555555
0.59,0.32,0.09,0.0,0.11672054737100372,0.7264957264957265,0.15137264174103976,0.75,0.18994325014175698,0.6888888888888889
0.57,0.31,0.08,0.04,0.12087605715514849,0.7350427350427351,0.1594870373481636,0.7638888888888888,0.19336431765572898,0.6888888888888889
0.54,0.3,0.08,0.08,0.12351665322893093,0.717948717948718,0.16550123556084168,0.75,0.194658863464866,0.6666666666666666
0.57,0.31,0.12,0.0,0.11464681807429818,0.7521367521367521,0.14792677648110136,0.75,0.1876665138546848,0.7555555555555555
0.54,0.3,0.12,0.04,0.11914738732391143,0.7521367521367521,0.15697923793883958,0.7638888888888888,0.19074152097194413,0.7333333333333333
0.52,0.29,0.11,0.08,0.12206576646830616,0.7350427350427351,0.16299587758645157,0.7361111111111112,0.19288980668613886,0.7333333333333333
0.54,0.3,0.16,0.0,0.11177016667186768,0.7521367521367521,0.14228881221040574,0.75,0.18622163633470162,0.7555555555555555
0.52,0.29,0.15,0.04,0.1161985868957121,0.7606837606837606,0.15149361795395788,0.7638888888888888,0.18865937377748687,0.7555555555555555
