,ret_gross,ret_net,cost,gross_exposure,turnover,nav_gross,nav_net
2019-04-07,2.7436450003534805e-05,2.3002473627206307e-06,2.5136202640814174e-05,0.9957161038202897,0.012824006201926526,1.0215095992388512,1.0169920705536935
2019-04-08,-0.0020552247886567758,-0.0020557266002415695,5.018115847936854e-07,0.9954342604185102,0.0010362695587709247,1.0194101673886447,1.0149014129020215
2019-04-09,-0.0021016434999276486,-0.002112358375015649,1.071487508800072e-05,0.9959659967097461,0.03386632005889863,1.017267730636592,1.0127575774026627
2019-04-10,0.0008533641439368863,0.0008515288456345609,1.835298302325408e-06,0.995959966688227,0.005761036111201013,1.0181358304427015,1.013619969693456
2019-04-11,0.0009393526188411156,0.0009373966596006632,1.955959240452359e-06,0.9957818140781869,0.00481982112467674,1.0190922190013638,1.0145701336671513
2019-04-12,-0.0010493495606822634,-0.0011295304433204994,8.018088263823584e-05,0.9958538424404513,0.2539130580733697,1.01802283502906,1.0134241458142905
2019-04-13,1.1642386102781492e-05,8.361893932521627e-06,3.280492170259865e-06,0.9973183945443622,0.001464552103911024,1.018034687243967,1.0134326199595065
2019-04-14,-3.452596655310831e-05,-4.4507746046219586e-05,9.981779493111276e-06,0.9970896259032205,0.0043086525622359146,1.0179995386124052,1.0133875143578224
2019-04-15,-0.00030074023230515945,-0.000374980884226836,7.424065192167651e-05,0.9957072373136608,0.2526026978460744,1.0176933851946763,1.013007513411624
2019-04-16,0.0009463271160314187,0.0009372057965556839,9.12131947573479e-06,0.9957986177442077,0.03162166720795143,1.018656456040892,1.013956909925148
2019-04-17,0.0064803039971797,0.006477077326530191,3.226670649508074e-06,0.9958005988484628,0.012840095533104407,1.0252576595447267,1.0205243872365026
2019-04-18,-0.0028847527056715763,-0.0032678609690420884,0.0003831082633705121,0.9958770819555519,1.24661298639356,1.0223000447373445,1.0171894554234968
2019-04-19,3.020817900309851e-05,3.0199505070349005e-05,8.673932749505991e-09,0.9958733568941659,3.725061386091952e-06,1.0223309265600908,1.0172201740416136
2019-04-20,-2.1992214483133066e-05,-2.2305367900851423e-05,3.1315341771835755e-07,0.9960081105551938,0.0001347536610275422,1.0223084432390812,1.0171974845713954
2019-04-21,6.7202209922699515e-06,1.945367014105047e-06,4.774853978164904e-06,0.9960125431246013,0.002376624803481849,1.022315313377742,1.0171994633938286
2019-04-22,-0.0025220668663321674,-0.002533094538985428,1.102767265326081e-05,0.9966005652689135,0.03596737447291278,1.0197369657989281,1.0146228009880467
2019-04-23,0.004701444539393087,0.0046988520881318325,2.592451261254572e-06,0.9956379155678833,0.009974309715551986,1.0245312025884008,1.0193903634551356
2019-04-24,0.005161393230923597,0.005153307225278818,8.086005644778756e-06,0.9948562139447967,0.03127709072660471,1.0298192110023106,1.0246435951805084
2019-04-25,-0.00237428039628217,-0.002378717777637295,4.437381355125082e-06,0.9962063833580477,0.01612195494001219,1.027374131437913,1.0222062572449102
2019-04-26,-0.0009912590988161388,-0.0009964779390600922,5.218840243953414e-06,0.9976860048088719,0.018666775126094916,1.0263557374822367,1.0211876512603966
2019-04-27,6.08388112481604e-05,6.061240003905691e-05,2.2641120910349008e-07,0.9978044509524057,0.00011844614353393726,1.026418179745223,1.0212495478948298
2019-04-28,-2.3823786013857153e-05,-2.9391431352560743e-05,5.56764533870359e-06,0.9980751293312217,0.003295541802275334,1.026393726578148,1.021219531908849
2019-04-29,0.003472888169468464,0.0034713559776064526,1.5321918620114488e-06,0.9972555514516729,0.005445899684685546,1.029958277208398,1.0247645484353893
2019-04-30,-0.0018961056818939718,-0.0020204073446608325,0.00012430166276686065,1.0000000000000002,0.12480563998327031,1.0280053674668692,1.0226941066151825
2019-05-01,0.008907367065614827,0.008888229888761085,1.913717685374323e-05,0.997715368704105,0.03198432527919226,1.0371621886203188,1.0317840469406594
2019-05-02,-0.007540181727431374,-0.007552690483869014,1.2508756437640754e-05,0.9971008494261273,0.02550089296094241,1.0293417972373011,1.023991301387923
2019-05-03,0.004694187940473662,0.004682322850253632,1.1865090220030215e-05,0.9997880475584353,0.019695521265618007,1.0341737210885178,1.0287859592568727
2019-05-04,0.0031397209498432387,0.00312406099761823,1.5659952225008815e-05,1.0000000000000004,0.015708685721154858,1.0374207379863967,1.0319999493470844
2019-05-05,-0.0014130582762442994,-0.00141486931127177,1.811035027470683e-06,0.9999999999999997,0.0018412816788722997,1.0359548020266376,1.030539804289519
2019-05-06,-0.00893234390635849,-0.008954878129255625,2.2534222897134897e-05,0.9930965316371365,0.056863640448859984,1.0267012974634921,1.0213114459347594
2019-05-07,0.004109986295624797,0.004059769808207541,5.021648741725551e-05,0.9999999999999998,0.05014566190963193,1.0309210257257673,1.025457735307742
2019-05-08,-0.00822123750769747,-0.00826069168321189,3.9454175514421057e-05,0.9967646668491532,0.07515612562497007,1.0224455791215967,1.0169867451222
2019-05-09,-0.0027069724236602347,-0.0027171164800003566,1.01440563401221e-05,0.9980006058902117,0.013349722635770476,1.0196778471342212,1.0142234736770865
2019-05-10,-5.686672096562825e-05,-6.830845210313135e-05,1.144173113750311e-05,0.9955859218860638,0.03174637659105516,1.0196198613986134,1.014154193641513
2019-05-11,0.002904406465112948,0.002902839993360594,1.5664717523544462e-06,0.9965438607827433,0.0009579388966794288,1.0225812519160171,1.01709812099425
2019-05-12,0.009651279670340166,0.00964507192551712,6.2077448230468565e-06,0.996605762659516,0.003538408705224967,1.0324504695639052,1.0269081055265479
2019-05-13,-0.00484548941983228,-0.005027432759029318,0.00018194333919703803,0.8963958888972474,0.11495523882661594,1.0274477417371324,1.021745394076311
2019-05-14,0.00542597000696731,0.005297377286973937,0.00012859271999337315,0.9650651572409203,0.07622560250597077,1.0330226423675242,1.0271579649199611
2019-05-15,0.001254821119366369,0.0010713116507330088,0.0001835094686333602,0.9969992779471746,0.23123579555804036,1.0343189009959506,1.0282583712149231
2019-05-16,0.009750627770360553,0.009692223441199863,5.840432916069001e-05,0.9985645351276238,0.19779299278909337,1.0444041595954106,1.0382244811040224
2019-05-17,-0.0008064982761465917,-0.0008089203908311274,2.422114684535732e-06,0.9989502355091332,0.008189782462722166,1.0435618494410965,1.0373846401509974
2019-05-18,-0.0041466999046077275,-0.004311492027398381,0.00016479212279065428,0.9999999999999997,0.13169331142101753,1.039234511619567,1.0329119645456408
2019-05-19,-0.0005121842498451277,-0.0005194465162577684,7.26226641264071e-06,0.9999999999999998,0.0033151669614596684,1.03870223207082,1.0323754220240566
2019-05-20,0.004766295174710002,0.004750417824449132,1.5877350260869723e-05,0.9941906124906875,0.050146609479439386,1.0436529935074996,1.037279636630363
2019-05-21,0.001979739432926943,0.001971287051368913,8.452381558029773e-06,0.9935974704798782,0.00580502092120296,1.0457191544930386,1.039324412546701
